fish_names,fish_prices in EUR,pictures,special
"Flavus Maulbrüter, Pseudotropheus (elongatus) flavus, DNZ",18.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85013/middle/Pseudotropheus-flavus-Flavus-Zebramaulbrueter.jpg,
"Fleckpanzerwels, Corydoras atropersonatus (Minifisch)",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/83240/middle/83240-Fleckpanzerwels-Corydoras-atropersonatus.jpg,
"Flossensauger, Pseudogastromyzon zebrinus, 3 Tiere",17.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101694/middle/Gastromyzon-zebrinus-39.jpg,Neuheit
"Fransenlipper albino, Epalzeorhynchos frenatum",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/82419/middle/82419-Fransenlipper-albino-Epalzeorhynchos-frenatum.jpg,
"Friedlicher Kampffisch, Betta imbellis",12.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84532/middle/Friedlicher-Kampffisch-Betta-imbellis-neu-2.jpg,
"Froschwels marmor, Clarias batrachus",14.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85140/middle/Froschwels-marmor-Clarias-batrachus.jpg,
"Fsh Aulonocara spec. Perlmutt-Firefish (Hybride), DNZ",42.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86300/middle/Aulonocara-spec--PERLMUTT-FIREFISH.jpg,Neuheit
"Fsh Perlosi, Hybride aus Pseudotropheus/Labidochromis, DNZ",25.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86321/middle/Fsh-perlosi.jpg,Neuheit
"Fünfgürtelbarbe, Barbus pentazona, DNZ",4.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80126/middle/Fuenfguertelbarbe-Barbus-pentazona-neu-1.jpg,
"Fünfstreifen-Tanganjikaseebuntbarsch, Neolamprologus tretocephalus, DNZ",20.49,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80318/middle/Tanganjikaseebuntbarsch-Neolamprologus-tretocephalu.jpg,
"Funkensalmler, Hyphessobrycon amandae (Minifisch)",2.69,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/20890/middle/20890-Funkensalmler--Hyphessobrycon-amandae--Minifisch-.jpg,
"Gebänderter Schneckenbuntbarsch, Neolamprologus brevis Congo, DNZ",14.59,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80123/middle/80123-Gebaenderter-Schneckenbuntbarsch--Neolamprologus-b.jpg,
"Geflecktes Dornauge, Pangio kuhli",2.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/8600/middle/Geflecktes-Dornauge-Pangio-kuhli.jpg,
